index,SMILES,RE(eV),HOMO-1(eV),HOMO(eV),LUMO(eV),LUMO+1(eV),E_0(hartree),E_0^-(hartree),E-(hartree),E_-^0(hartree),D_0 dipole moment(D),D_0^- dipole moment(D),D- dipole moment(D),D_-^0 dipole moment(D)
0,Cn1c(=O)c2c(-c3cncnn3)c3c4cccc5cccc(c3c(-c3cnc(C6COc7nsnc7O6)nn3)c2c1=O)c54,0.330155746,-6.791145604,-6.733457466,-3.374483978,-2.911890416,-2305.851992,-2305.928666,-2305.931076,-2305.842269,4.2717,2.8807,2.6677,5.2617
2,N#CC(C#N)=C1C=C(c2onc(C(=O)O)c2C(=O)O)OC(c2onc(C(=O)O)c2C(=O)O)=C1,0.405218355,-8.570770248,-7.412925774,-4.228105157,-3.775307694,-1735.905086,-1736.011167,-1736.012427,-1735.891454,0.0695,7.12,6.0257,0.8135
3,O=C(c1sc(C(F)(F)F)c2c1SCCS2)c1sc(C(F)(F)F)c2c1SCCS2,0.519476243,-6.523385566,-6.38760075,-2.926584564,-1.88574905,-3639.852379,-3639.910568,-3639.914115,-3639.836836,6.4206,11.5021,12.9723,7.6805
4,CN1C(=O)C2=C(C(=Cc3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)N(C)C(=O)C2=C1C#N,0.449776999,-7.599595882,-6.482296373,-3.835172743,-2.758146085,-2193.734414,-2193.827525,-2193.829993,-2193.720353,4.1622,9.126,7.8426,4.214
6,N#Cc1cnc(-c2cnc(-c3ncc(C#N)nn3)nn2)nn1,0.590704767,-7.84830795,-7.467892774,-4.108647172,-3.595712546,-1023.018736,-1023.110397,-1023.119917,-1023.006548,3.661,3.9823,2.2581,2.3221
8,O=C(O)c1ncnc(-c2c3ccsc3nc3sc(F)c(F)c23)n1,0.609262933,-7.028701004,-6.55114118,-3.115431583,-2.708077135,-1863.293491,-1863.350055,-1863.35913,-1863.280176,2.7285,2.5983,1.7886,2.9761
9,N#CC(C#N)=C1C=C(c2ccc(C(=C(c3ccccc3)c3ccc(C4=CC(=C(C#N)C#N)C=C(c5nc6ccccc6[nH]5)O4)cc3)c3ccccc3)cc2)OC(c2nc3ccccc3[nH]2)=C1,0.454748519,-6.389233433,-6.288279191,-3.23080786,-3.078151984,-2741.499656,-2741.57956,-2741.583403,-2741.486787,16.4815,21.5671,20.9494,18.8937
11,N#CC(=C(C(=O)C(=C(C#N)c1cccs1)c1cccs1)c1cccs1)c1cccs1,0.413183127,-6.338076027,-6.332361636,-3.32740828,-2.739098115,-2660.98232,-2661.058782,-2661.062839,-2660.971194,10.358,14.4965,15.0584,10.5282
14,Cn1c(=C(C#N)C#N)sc(=Cc2cnc(C=c3sc(=C(C#N)C#N)n(C)c3=O)nc2)c1=O,0.491611784,-7.399864309,-7.016727994,-4.180757345,-3.240603959,-2152.869274,-2152.978319,-2152.982257,-2152.855145,9.3866,8.3485,9.0941,9.8481
15,N#Cc1sc(C2COc3nsnc3O2)c(C#N)c1C(=O)c1c(C#N)sc(C2COc3nsnc3O2)c1C#N,0.504251473,-7.263807379,-7.263263151,-3.969052762,-3.546459937,-3210.564066,-3210.655733,-3210.660978,-3210.55078,2.3841,12.8774,12.1948,1.4335
16,FC(F)(F)c1nccc(-c2cc3c(s2)-c2sccc2C32OCCO2)n1,0.405106788,-7.486940744,-5.960109876,-2.747533644,-1.742072932,-1970.937158,-1970.987474,-1970.989937,-1970.924734,4.7541,6.4014,6.2479,6.0738
17,c1nc(-c2ncnc(-c3nc4ccsc4s3)n2)nc(-c2ncnc(-c3nc4ccsc4s3)n2)n1,0.429523565,-6.716042179,-6.69073559,-3.286046973,-2.89529147,-2923.184496,-2923.251689,-2923.257699,-2923.174721,2.9678,10.4374,11.1506,2.5787
18,O=C1c2ccccc2C(=O)N1c1sc2c(sc3c(F)c(-c4ncnc(-c5sc6c(sc7c(F)c(N8C(=O)c9ccccc9C8=O)sc76)c5F)n4)sc32)c1F,0.232815176,-6.395764165,-6.373178715,-2.908080822,-2.907536594,-4702.294402,-4702.349057,-4702.349294,-4702.286083,9.6083,1.2759,0.2836,10.5402
19,Cc1nc2c(C#N)sc(-c3noc(-c4sc(C#N)c5nc(C)c(C)nc45)c3C(=O)O)c2nc1C,0.307284576,-6.941624569,-6.818901218,-3.532037903,-3.320061206,-2251.364206,-2251.443991,-2251.445115,-2251.354037,7.8577,16.4367,17.7689,8.3311
20,N#Cc1sc(C#Cc2ccc3nc(C(=O)c4nc5ccc(C#Cc6sc(C#N)c(F)c6F)cc5o4)oc3c2)c(F)c1F,0.379558018,-6.859718297,-6.771281292,-3.792722981,-3.15679289,-2748.902702,-2748.9982,-2748.999294,-2748.889847,2.8922,6.1413,6.4104,3.5676
22,N#Cc1c(-c2ccnc(-c3sc4sc5sc(-c6cncn6C(=O)n6ccnc6)c(C#N)c5c4c3C#N)n2)sc2sc3sc(-c4cncn4C(=O)n4ccnc4)c(C#N)c3c12,0.415074319,-6.565563214,-6.433043764,-2.878964639,-2.574741343,-4761.211241,-4761.271644,-4761.276813,-4761.201157,5.9201,12.1418,13.1435,6.6911
23,CN1C(=O)C2=C(C3COc4cscc4S3)N(C)C(=O)C2=C1C1COc2cscc2S1,0.456666922,-6.151950147,-6.08800339,-2.97774197,-0.977705099,-2774.82568,-2774.885787,-2774.88641,-2774.80952,0.0001,0.4763,0.4765,0
24,N#CC(C#N)=C1C=C(c2c(F)c(F)c(C3=CC(=C(C#N)C#N)C=C(C(F)(F)F)O3)c(F)c2F)OC(C(F)(F)F)=C1,0.670404196,-7.457552447,-7.354693408,-4.144021974,-3.590270269,-2284.773009,-2284.87933,-2284.886269,-2284.755311,4.5658,7.59,9.1161,5.3453
25,Cc1c(C=Cc2ccnc(C=Cc3ccnc(-c4nccc(C=Cc5nc6ncccn6c5C)n4)n3)n2)nc2ncccn12,0.28979854,-6.223516092,-5.828134653,-2.590523947,-2.480589948,-1890.75068,-1890.792845,-1890.796653,-1890.743837,9.5725,11.544,11.6548,9.9844
26,N#Cc1ncnc(-c2sc(-c3ncnc(C#N)n3)c3c2OCCS3)n1,0.416908366,-7.09047085,-6.704613397,-3.639794991,-3.003048559,-1846.62803,-1846.711556,-1846.716129,-1846.617282,1.0942,2.1291,2.2645,0.8222
27,O=C(O)c1cc(F)c([Si]2(c3c(F)cc(C(=O)O)c4nsnc34)c3ccsc3-c3sccc32)c2nsnc12,0.331206106,-7.141628256,-5.7799705,-3.387817557,-3.309992993,-3445.003997,-3445.077102,-3445.077105,-3444.991828,0.5888,4.9509,4.3898,0.2119
28,Fc1cc(F)c(F)c(-c2ncc(-c3c(F)c(F)c(C4CSc5cscc5S4)c(F)c3F)cn2)c1F,0.575912658,-6.29671472,-6.165827954,-2.69719258,-2.042486633,-2945.930835,-2945.977419,-2945.98362,-2945.915872,2.1965,7.5271,8.6736,1.6417
29,O=C(O)c1cocc1C(=O)c1ccc([SiH]2C=C3OCCOC3=C2)s1,0.586367272,-6.891011391,-6.105962905,-2.28194683,-1.613090962,-1755.876041,-1755.903198,-1755.909776,-1755.861071,4.7005,13.4228,12.7741,4.2456
30,CN1C(=O)C2=C(c3sc(C#N)c(C4=C(C#N)C(=C(C#N)C#N)SC4(C)C)c3C#N)N(C)C(=O)C2=C1c1sc(C#N)c(C2=C(C#N)C(=C(C#N)C#N)SC2(C)C)c1C#N,0.462590841,-7.437143908,-7.091015078,-4.69505254,-3.859118763,-3935.02027,-3935.153236,-3935.157322,-3935.007355,0.0005,0.4047,0.4055,0.0018
32,N#Cc1ncc(C=c2ccc(=c3ccc(=Cc4cnc(C#N)nn4)s3)s2)nn1,0.448449084,-7.446123665,-6.109228271,-4.234363775,-3.146452563,-1924.886583,-1925.001875,-1925.005654,-1924.873881,0.0007,0.3719,0.3723,0.0004
34,Cn1c(-c2ccc3c(c2)NC(=O)C3=c2ccc(=c3ccc(=C4C(=O)Nc5cc(-c6nc(C#N)c(C#N)n6C)ccc54)s3)s2)nc(C#N)c1C#N,0.448364728,-6.786247555,-5.970450202,-4.177491979,-2.78807861,-2876.908748,-2877.030278,-2877.033848,-2876.895841,0.0006,0.112,0.1125,0
